source,target,type
306871364,56681438,follows
247230903,56681438,follows
6866812,56681438,follows
242850540,56681438,follows
139737713,56681438,follows
43303324,56681438,follows
32011689,56681438,follows
249086525,56681438,follows
59569960,56681438,follows
216446401,56681438,follows
243736574,56681438,follows
244268124,56681438,follows
279670930,56681438,follows
18956725,56681438,follows
173794565,56681438,follows
163215261,56681438,follows
189269558,56681438,follows
191859476,56681438,follows
236117470,56681438,follows
103042676,56681438,follows
9287412,56681438,follows
173112500,56681438,follows
239813242,56681438,follows
179701568,56681438,follows
174259283,56681438,follows
2142731,56681438,follows
94544245,56681438,follows
249789700,56681438,follows
152278102,56681438,follows
14942383,56681438,follows
234418450,56681438,follows
161051816,56681438,follows
216247431,56681438,follows
134042746,56681438,follows
71194661,56681438,follows
52352494,56681438,follows
214496897,56681438,follows
75861849,56681438,follows
37631819,56681438,follows
19392607,56681438,follows
105274711,56681438,follows
116771162,56681438,follows
108583299,56681438,follows
101723198,56681438,follows
19501233,56681438,follows
49636784,56681438,follows
84861566,56681438,follows
88301531,56681438,follows
87465337,56681438,follows
56681438,312016287,friend
56681438,1629995042,friend
56681438,1229925007,friend
56681438,27605203,friend
56681438,49413866,friend
56681438,2201150923,friend
56681438,16345873,friend
56681438,457033547,friend
56681438,458864610,friend
56681438,117407713,friend
56681438,14749394,friend
56681438,1552446536,friend
56681438,188669876,friend
56681438,22341950,friend
56681438,84351228,friend
56681438,14217000,friend
56681438,17189369,friend
56681438,21218658,friend
56681438,1322427607,friend
56681438,11585552,friend
56681438,381289719,friend
56681438,14444751,friend
56681438,5695032,friend
56681438,291021934,friend
56681438,767285,friend
56681438,131882442,friend
56681438,191773572,friend
56681438,223495740,friend
56681438,47483478,friend
56681438,51394078,friend
56681438,14084419,friend
56681438,51002440,friend
56681438,919599445,friend
56681438,1517294112,friend
56681438,569162650,friend
56681438,244132172,friend
56681438,109258650,friend
56681438,964511335,friend
56681438,1098876546,friend
56681438,1636590253,friend
56681438,615486974,friend
56681438,741097339,friend
